
####################################################################
# 			       TL-WR841N  System Log 
# Time = 2017-04-10 23:26:21 11748s
# H-Ver = WR841N v9 00000000 : S-Ver = 3.14.4 Build 140122 Rel.61200n 
# L = 192.168.1.1 : M = 255.255.255.0
# W1 = DHCP : W = 192.168.0.10 : M = 255.255.255.0 : G = 192.168.0.1
####################################################################

May 10 22:42:26	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 22:42:27	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 22:44:04	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 5C:C9:D3:3D:DA:1A
May 10 22:44:05	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.108
May 10 22:44:08	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 5C:C9:D3:3D:DA:1A
May 10 22:44:08	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.108
May 10 22:44:16	 DHCP      	INFO   	DHCPS:Recv DISCOVER from 5C:C9:D3:3D:DA:1A
May 10 22:44:16	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.108
May 10 22:44:16	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:C9:D3:3D:DA:1A
May 10 22:44:16	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.108
May 10 22:57:26	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 22:57:26	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 22:59:52	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 22:59:52	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
May 10 23:05:42	 DHCP      	INFO   	DHCPS:Recv REQUEST from EE:08:6B:08:3D:51
May 10 23:05:42	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.105
May 10 23:05:42	 DHCP      	INFO   	DHCPS:Recv REQUEST from EE:08:6B:08:3D:51
May 10 23:05:42	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.105
May 10 23:05:44	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EE:08:6B:08:3D:51
May 10 23:05:44	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.105
May 10 23:05:48	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EE:08:6B:08:3D:51
May 10 23:05:48	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.105
May 10 23:05:57	 DHCP      	INFO   	DHCPS:Recv DISCOVER from EE:08:6B:08:3D:51
May 10 23:05:57	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.1.105
May 10 23:06:44	 DHCP      	INFO   	DHCPS:Recv REQUEST from 2C:AE:2B:08:3D:51
May 10 23:06:44	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.107
May 10 23:12:26	 DHCP      	INFO   	DHCPC Send REQUEST to server c0a80001 with request ip c0a8000a
May 10 23:12:29	 DHCP      	INFO   	DHCPC Recv ACK from server c0a80001 with ip c0a8000a lease time 3600
May 10 23:12:29	 DHCP      	INFO   	DHCPC:GET ip:c0a8000a mask:ffffff00 gateway:c0a80001 dns1:bd077814 dns2:bd077810 static route:0
May 10 23:12:29	 DHCP      	NOTICE 	Dynamic IP(DHCP Client) obtained an IP successfully
May 10 23:17:14	 DHCP      	INFO   	DHCPS:Recv REQUEST from 5C:8D:4E:0F:77:81
May 10 23:17:14	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.1.100
